# USDA food code | app name | search aliases (semicolon separated)
27445150|General Tso's chicken|general tso chicken;general tsos chicken
27445220|Kung pao chicken|kung pao
27450470|Kung pao shrimp|kung pao prawns
27415130|Szechuan beef|sichuan beef
27415140|Hunan beef|hunan style beef
27150410|Shrimp teriyaki|teriyaki shrimp
27115100|Beef teriyaki|teriyaki beef
27145000|Chicken teriyaki|teriyaki chicken
27146150|Chicken curry|curry chicken
27146155|Chicken curry with rice|chicken curry and rice
27116100|Beef curry|curry beef
27150320|Fish curry|seafood curry
41311030|Lentil curry|dal;dahl;daal
75440600|Vegetable curry|veggie curry
27243100|Chicken biryani|biryani
27213010|Meat biryani|beef biryani
58160000|Vegetable biryani|vegetarian biryani
58124500|Samosa|samosas
41209000|Falafel|falafel balls
41901030|Falafel sandwich|falafel pita;falafel wrap
27516010|Gyro|gyro sandwich;gyros
58150100|Bibimbap|korean rice bowl
58102540|Chicken burrito|chicken rice bean cheese burrito
58102340|Beef burrito|beef rice bean cheese burrito
58102610|Bean and cheese burrito|vegetarian burrito
58102810|Beef enchilada|enchilada
58102830|Chicken enchilada|enchiladas with chicken
58102840|Cheese enchilada|meatless enchilada
58103125|Pork tamale|tamale;tamales
58103130|Chicken tamale|chicken tamales
58103120|Beef tamale|beef tamales
58104730|Steak quesadilla|beef quesadilla
58104750|Vegetable quesadilla|veggie quesadilla
58106225|Cheese pizza|pizza;slice of pizza;plain pizza;cheese pizza slice
58106555|Pepperoni pizza|pepperoni slice
58106325|Vegetable pizza|veggie pizza;vegetarian pizza
58106725|Supreme pizza|combination pizza;meat and vegetable pizza
58106755|Hawaiian pizza|ham and pineapple pizza
58106655|Meat lovers pizza|meat pizza;meat lover pizza
58106220|Thin-crust cheese pizza|thin crust pizza
58106550|Thin-crust pepperoni pizza|thin pepperoni pizza
58106230|Thick-crust cheese pizza|pan cheese pizza
58106560|Thick-crust pepperoni pizza|pan pepperoni pizza
58108000|Cheese calzone|calzone
58108010|Meat calzone|meat and cheese calzone
27540050|Turkey sub|6 inch turkey sub;turkey hoagie
27540060|Turkey and cheese sub|turkey cheese hoagie
27564440|Chili dog|chili hot dog
27564240|Turkey hot dog with bun|turkey hotdog
27564420|Veggie hot dog with bun|vegetarian hot dog
25210210|Beef hot dog without bun|hot dog no bun;frankfurter
25210410|Turkey hot dog without bun|turkey hot dog no bun
27540195|Grilled chicken sandwich|chicken sandwich
27540196|Grilled chicken and cheese sandwich|grilled chicken cheese sandwich
27540147|Crispy chicken and cheese sandwich|fried chicken cheese sandwich
27540123|Club sandwich|turkey club
27510950|Reuben sandwich|reuben
27510700|Meatball sub|meatball sandwich
27510100|Sloppy joe|sloppy joe sandwich
27513070|French dip sandwich|french dip
27520410|Cuban sandwich|cubano
27520610|BLT sandwich|blt;bacon lettuce tomato sandwich
27513010|Roast beef sandwich|roast beef sandwich with mayo
27513050|Roast beef and cheese sandwich|roast beef cheese sandwich
72116150|Caesar salad|caesar salad with dressing
75143000|Garden salad with ranch|side salad;green salad;garden salad
75230000|Sauerkraut|sour cabbage
42401010|Canned coconut milk|cooking coconut milk
11830150|Cocoa powder|unsweetened cocoa;baking cocoa
82105500|Canola oil|vegetable oil
82107000|Sesame oil|toasted sesame oil
82101500|Coconut oil|coconut cooking oil
82105000|Peanut oil|peanut cooking oil
81312100|Curry sauce|curry gravy
41420400|Teriyaki sauce|teriyaki glaze
74402250|Red enchilada sauce|enchilada sauce
74402260|Green enchilada sauce|green chile sauce
75534550|Wasabi|wasabi paste
11440060|Tzatziki|tzatziki dip
14620115|Spinach artichoke dip|spinach and artichoke dip
53223000|Gingersnap cookie|ginger snaps;gingersnaps
13210350|Flan|caramel custard
13210370|Creme brulee|crème brûlée
13252600|Tiramisu|tiramisu dessert
53441110|Baklava|baklava pastry
13210410|Rice pudding|arroz con leche
53415300|Berry crisp|berry crumble
53385000|Pecan pie|slice of pecan pie
53305000|Cherry pie|slice of cherry pie
53104500|Cheesecake|plain cheesecake
63119010|Fig|fresh figs;figs
62113100|Dried figs|dried fig
63103010|Apricot|apricots
62104100|Dried apricots|dried apricot
